Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1000020,Multifamily residential,1/1/12,9,"$6,851,263.13 ",5.46%,"$9,929,366.85 ","$457,743.81 ",1.22,60,45,15%,2008,0
Commercial Real Estate,ABC1000021,Retail space,1/1/14,6,"$20,525,618.44 ",5.41%,"$33,648,554.81 ","$2,631,316.99 ",2.37,60,21,11%,2002,0
Commercial Real Estate,ABC1000022,Office building,1/1/13,4,"$6,575,074.87 ",4.53%,"$12,892,303.67 ","$821,239.74 ",2.76,180,7,4%,2008,0
Commercial Real Estate,ABC1000023,Retail space,1/1/16,11,"$905,925.18 ",5.27%,"$1,078,482.35 ","$73,013.26 ",1.53,60,60,4%,1999,0
Commercial Real Estate,ABC1000024,Retail space,1/1/14,8,"$2,053,541.46 ",4.36%,"$2,702,028.24 ","$238,859.30 ",2.67,60,22,31%,1999,0
Commercial Real Estate,ABC1000025,Office building,1/1/15,9,"$10,874,242.73 ",5.14%,"$14,308,214.12 ","$1,021,606.49 ",1.83,180,59,26%,2007,0
Commercial Real Estate,ABC1000026,Retail space,1/1/13,10,"$4,591,663.06 ",5.14%,"$5,812,231.72 ","$376,051.39 ",1.59,60,46,7%,2007,0
Commercial Real Estate,ABC1000027,Retail space,1/1/18,8,"$5,356,524.33 ",4.77%,"$7,544,400.46 ","$468,507.27 ",1.83,60,14,15%,2008,0
Commercial Real Estate,ABC1000028,Multifamily residential,1/1/16,8,"$3,109,609.97 ",5.54%,"$5,270,525.37 ","$157,061.66 ",0.91,120,11,29%,2006,0
Commercial Real Estate,ABC1000029,Retail space,1/1/16,7,"$3,449,353.01 ",4.48%,"$5,563,472.60 ","$294,864.05 ",1.91,120,69,1%,2009,0
Commercial Real Estate,ABC1000030,Office building,1/1/15,6,"$2,329,310.24 ",5.46%,"$4,235,109.52 ","$226,154.85 ",1.78,60,29,9%,2003,0
Commercial Real Estate,ABC1000031,Multifamily residential,1/1/18,6,"$529,271.59 ",5.50%,"$867,658.35 ","$63,165.53 ",2.17,120,11,12%,1999,0
Commercial Real Estate,ABC1000032,Retail space,1/1/15,6,"$1,437,693.62 ",4.65%,"$2,478,782.10 ","$134,845.75 ",2.02,120,86,6%,1996,0
Commercial Real Estate,ABC1000033,Multifamily residential,1/1/13,8,"$1,952,983.82 ",5.71%,"$2,872,035.03 ","$219,997.88 ",1.97,120,76,7%,2008,0
Commercial Real Estate,ABC1000034,Multifamily residential,1/1/17,9,"$1,717,884.24 ",4.10%,"$2,454,120.34 ","$100,373.52 ",1.43,60,57,7%,2006,0
Commercial Real Estate,ABC1000035,Retail space,1/1/15,10,"$2,178,100.49 ",5.26%,"$2,828,701.94 ","$165,479.06 ",1.44,120,69,9%,1995,0
Commercial Real Estate,ABC1000036,Retail space,1/1/17,4,"$9,667,953.61 ",5.42%,"$18,241,421.90 ","$1,539,576.01 ",2.94,120,38,38%,2006,0
Commercial Real Estate,ABC1000037,Retail space,1/1/19,10,"$15,060,282.68 ",5.39%,"$20,080,376.91 ","$771,086.47 ",0.95,60,40,2%,2000,0
Commercial Real Estate,ABC1000038,Multifamily residential,1/1/18,10,"$5,144,134.48 ",5.74%,"$6,430,168.11 ","$468,116.24 ",1.59,60,17,5%,2000,0
Commercial Real Estate,ABC1000039,Retail space,1/1/14,10,"$2,300,722.60 ",5.37%,"$3,151,674.79 ","$154,432.06 ",1.25,180,180,10%,2001,0
Commercial Real Estate,ABC1000040,Retail space,1/1/18,5,"$871,865.93 ",4.12%,"$1,362,290.51 ","$111,026.68 ",3.09,180,57,13%,1995,0
Commercial Real Estate,ABC1000041,Retail space,1/1/11,9,"$1,139,871.95 ",5.93%,"$1,561,468.43 ","$90,877.46 ",1.34,60,50,11%,1998,0
Commercial Real Estate,ABC1000042,Multifamily residential,1/1/11,5,"$61,109,684.80 ",4.64%,"$101,849,474.67 ","$7,852,594.50 ",2.77,60,24,15%,1998,0
Commercial Real Estate,ABC1000043,Multifamily residential,1/1/19,9,"$2,846,464.22 ",5.23%,"$3,795,285.63 ","$297,170.86 ",2,180,78,38%,2002,0
Commercial Real Estate,ABC1000044,Multifamily residential,1/1/15,7,"$7,378,182.62 ",4.77%,"$13,175,326.11 ","$524,377.98 ",1.49,120,21,9%,2009,0
Commercial Real Estate,ABC1000045,Multifamily residential,1/1/19,4,"$515,003.09 ",4.28%,"$971,703.94 ","$68,796.64 ",3.12,60,8,6%,1997,0
Commercial Real Estate,ABC1000046,Office building,1/1/15,4,"$4,391,215.63 ",4.21%,"$7,703,887.07 ","$683,334.78 ",3.7,120,1,1%,1996,0
Commercial Real Estate,ABC1000047,Office building,1/1/12,8,"$867,316.00 ",4.59%,"$1,204,605.55 ","$79,624.43 ",2,60,50,10%,2009,0
Commercial Real Estate,ABC1000048,Retail space,1/1/18,6,"$2,568,917.58 ",4.34%,"$4,013,933.72 ","$264,518.23 ",2.37,120,103,29%,1995,0
Commercial Real Estate,ABC1000049,Retail space,1/1/19,6,"$5,534,958.43 ",5.94%,"$8,927,352.31 ","$787,392.47 ",2.39,60,51,27%,2007,0
Commercial Real Estate,ABC1000050,Office building,1/1/12,5,"$8,939,959.73 ",4.43%,"$13,545,393.53 ","$1,254,303.44 ",3.17,120,102,37%,2007,0
Commercial Real Estate,ABC1000051,Multifamily residential,1/1/14,8,"$2,318,367.86 ",5.21%,"$3,512,678.57 ","$216,029.73 ",1.79,120,115,1%,2006,0
Commercial Real Estate,ABC1000052,Multifamily residential,1/1/14,11,"$5,966,487.04 ",5.89%,"$8,062,820.33 ","$182,219.74 ",0.52,120,36,15%,2002,1
Commercial Real Estate,ABC1000053,Office building,1/1/16,11,"$2,902,344.38 ",5.54%,"$3,818,874.19 ","$116,857.55 ",0.73,120,59,12%,2007,0
Commercial Real Estate,ABC1000054,Multifamily residential,1/1/17,8,"$4,032,464.92 ",4.11%,"$5,600,645.72 ","$388,684.81 ",2.35,120,24,7%,1999,0
Commercial Real Estate,ABC1000055,Retail space,1/1/18,10,"$9,252,782.43 ",5.93%,"$11,565,978.03 ","$874,387.94 ",1.59,60,9,15%,2003,0
Commercial Real Estate,ABC1000056,Retail space,1/1/12,6,"$1,688,495.98 ",4.80%,"$2,558,327.25 ","$225,900.30 ",2.79,60,54,1%,2000,0
Commercial Real Estate,ABC1000057,Retail space,1/1/19,8,"$3,915,397.52 ",4.91%,"$5,674,489.17 ","$331,957.62 ",1.73,120,120,5%,2003,0
Commercial Real Estate,ABC1000058,Office building,1/1/17,10,"$4,282,165.42 ",5.83%,"$5,561,253.79 ","$402,078.65 ",1.61,120,5,32%,2004,0
Commercial Real Estate,ABC1000059,Retail space,1/1/18,7,"$1,223,391.25 ",5.21%,"$2,073,544.49 ","$96,627.17 ",1.52,120,116,8%,2008,0
Commercial Real Estate,ABC1000060,Retail space,1/1/16,11,"$892,267.73 ",4.96%,"$1,075,021.37 ","$65,146.29 ",1.47,120,78,10%,2002,0
Commercial Real Estate,ABC1000061,Office building,1/1/15,7,"$2,393,872.49 ",5.82%,"$4,127,366.37 ","$191,922.54 ",1.38,60,3,26%,1998,0
Commercial Real Estate,ABC1000062,Retail space,1/1/13,11,"$8,916,777.43 ",4.20%,"$10,874,118.81 ","$382,768.98 ",1.02,120,109,4%,2004,0
Commercial Real Estate,ABC1000063,Retail space,1/1/13,7,"$1,773,654.00 ",5.10%,"$2,608,314.70 ","$226,140.88 ",2.5,120,118,13%,1998,0
Commercial Real Estate,ABC1000064,Retail space,1/1/11,10,"$4,997,129.54 ",4.35%,"$6,662,839.39 ","$207,880.59 ",0.96,60,43,39%,1998,0
Commercial Real Estate,ABC1000065,Retail space,1/1/12,10,"$1,843,409.08 ",5.26%,"$2,425,538.27 ","$109,634.33 ",1.13,60,45,28%,2000,0
Commercial Real Estate,ABC1000066,Office building,1/1/17,10,"$3,534,018.65 ",5.76%,"$4,775,700.87 ","$236,397.19 ",1.16,60,50,11%,1999,0
Commercial Real Estate,ABC1000067,Retail space,1/1/11,8,"$2,044,755.16 ",5.92%,"$3,525,439.94 ","$126,915.84 ",1.05,120,81,15%,2006,0
Commercial Real Estate,ABC1000068,Multifamily residential,1/1/15,6,"$5,976,543.28 ",5.24%,"$11,718,712.31 ","$466,404.75 ",1.49,60,42,14%,2008,0
Commercial Real Estate,ABC1000069,Retail space,1/1/16,10,"$3,202,205.74 ",4.84%,"$4,851,826.87 ","$32,507.24 ",0.21,60,1,15%,2002,1
Commercial Real Estate,ABC1000070,Multifamily residential,1/1/11,9,"$7,412,658.48 ",4.13%,"$9,883,544.64 ","$600,919.51 ",1.96,120,118,4%,2005,0
Commercial Real Estate,ABC1000071,Multifamily residential,1/1/17,6,"$6,274,015.93 ",5.90%,"$11,007,045.49 ","$748,479.09 ",2.02,180,109,8%,1996,0
Commercial Real Estate,ABC1000072,Multifamily residential,1/1/12,9,"$467,990.01 ",5.56%,"$607,779.23 ","$51,722.01 ",1.99,120,35,26%,1996,0
Commercial Real Estate,ABC1000073,Retail space,1/1/13,10,"$10,135,822.77 ",5.99%,"$14,077,531.62 ","$565,916.77 ",0.93,60,9,14%,1996,0
Commercial Real Estate,ABC1000074,Multifamily residential,1/1/17,11,"$1,646,128.69 ",4.28%,"$1,983,287.58 ","$93,809.50 ",1.33,60,20,35%,2002,0
Commercial Real Estate,ABC1000075,Retail space,1/1/14,10,"$4,875,156.46 ",5.42%,"$6,588,049.26 ","$293,168.19 ",1.11,120,73,13%,2002,0
Commercial Real Estate,ABC1000076,Multifamily residential,1/1/17,9,"$8,862,711.52 ",5.27%,"$11,976,637.18 ","$791,655.72 ",1.69,180,89,3%,2004,0
Commercial Real Estate,ABC1000077,Office building,1/1/16,7,"$23,742,981.47 ",4.92%,"$38,295,131.40 ","$1,983,687.81 ",1.7,60,46,5%,1999,0
Commercial Real Estate,ABC1000078,Multifamily residential,1/1/12,4,"$2,038,109.50 ",4.55%,"$3,396,849.17 ","$313,189.49 ",3.38,60,13,15%,1997,0
Commercial Real Estate,ABC1000079,Multifamily residential,1/1/11,6,"$1,841,401.96 ",4.04%,"$3,018,691.74 ","$192,592.53 ",2.59,180,137,8%,2003,0
Commercial Real Estate,ABC1000080,Office building,1/1/12,9,"$1,905,318.47 ",4.76%,"$2,540,424.63 ","$167,922.07 ",1.85,60,8,1%,1995,0
Commercial Real Estate,ABC1000081,Multifamily residential,1/1/15,9,"$1,918,702.00 ",4.32%,"$2,741,002.86 ","$117,040.82 ",1.41,60,18,8%,1997,0
Commercial Real Estate,ABC1000082,Retail space,1/1/13,11,"$10,452,015.94 ",5.66%,"$12,592,790.29 ","$710,233.37 ",1.2,120,89,13%,2009,0
Commercial Real Estate,ABC1000083,Retail space,1/1/16,10,"$3,461,370.17 ",4.20%,"$4,741,602.97 ","$152,679.62 ",1.05,180,135,30%,2009,0
Commercial Real Estate,ABC1000084,Multifamily residential,1/1/13,12,"$1,495,630.42 ",4.78%,"$1,680,483.62 ","$41,844.04 ",0.59,180,31,4%,1999,0
Commercial Real Estate,ABC1000085,Retail space,1/1/18,10,"$1,149,337.08 ",5.73%,"$1,641,910.11 ","$69,452.80 ",1.05,120,81,3%,2000,0
Commercial Real Estate,ABC1000086,Retail space,1/1/14,9,"$5,748,670.31 ",5.19%,"$8,212,386.16 ","$422,116.65 ",1.41,60,59,15%,1995,0
Commercial Real Estate,ABC1000087,Multifamily residential,1/1/13,6,"$2,626,524.39 ",4.56%,"$3,979,582.41 ","$340,652.25 ",2.84,120,97,6%,2000,0
Commercial Real Estate,ABC1000088,Multifamily residential,1/1/13,10,"$2,710,600.45 ",4.40%,"$3,520,260.32 ","$170,732.63 ",1.43,60,13,35%,2002,0
Commercial Real Estate,ABC1000089,Retail space,1/1/15,8,"$2,281,987.42 ",4.68%,"$3,622,202.25 ","$155,754.70 ",1.46,120,60,40%,1998,0
Commercial Real Estate,ABC1000090,Multifamily residential,1/1/12,7,"$2,875,874.44 ",5.63%,"$4,357,385.51 ","$333,775.73 ",2.06,60,30,5%,2001,0
Commercial Real Estate,ABC1000091,Multifamily residential,1/1/16,7,"$1,368,572.97 ",4.42%,"$2,138,395.26 ","$138,995.69 ",2.3,120,79,2%,2009,0
Commercial Real Estate,ABC1000092,Retail space,1/1/11,8,"$883,631.44 ",5.19%,"$1,244,551.32 ","$85,874.04 ",1.87,120,110,13%,2000,0
Commercial Real Estate,ABC1000093,Office building,1/1/17,12,"$2,120,028.36 ",5.85%,"$2,523,843.28 ","$85,558.29 ",0.69,60,38,26%,1996,1
Commercial Real Estate,ABC1000094,Retail space,1/1/13,6,"$4,340,417.28 ",4.37%,"$6,200,596.11 ","$589,056.63 ",3.11,120,90,11%,1999,0
Commercial Real Estate,ABC1000095,Multifamily residential,1/1/11,5,"$23,590,310.54 ",4.25%,"$39,983,577.18 ","$2,678,899.67 ",2.67,120,57,13%,2004,0
Commercial Real Estate,ABC1000096,Retail space,1/1/17,8,"$3,280,689.62 ",5.01%,"$5,964,890.23 ","$130,631.10 ",0.79,60,53,6%,2008,0
Commercial Real Estate,ABC1000097,Retail space,1/1/16,5,"$2,720,550.04 ",5.56%,"$4,387,983.94 ","$428,706.03 ",2.83,60,24,34%,1997,0
Commercial Real Estate,ABC1000098,Retail space,1/1/15,9,"$1,993,526.75 ",5.44%,"$2,768,787.15 ","$183,016.83 ",1.69,180,45,30%,2003,0
Commercial Real Estate,ABC1000099,Multifamily residential,1/1/17,9,"$2,137,939.89 ",4.50%,"$2,889,107.96 ","$168,723.90 ",1.75,120,80,1%,2009,0
Commercial Real Estate,ABC1000100,Retail space,1/1/17,9,"$3,431,150.85 ",5.58%,"$5,278,693.62 ","$202,173.97 ",1.06,120,36,6%,1997,0
Commercial Real Estate,ABC1000101,Office building,1/1/12,7,"$2,550,576.91 ",5.12%,"$4,048,534.77 ","$218,620.88 ",1.67,120,119,7%,1995,1
Commercial Real Estate,ABC1000102,Retail space,1/1/16,10,"$5,185,979.75 ",5.13%,"$6,482,474.69 ","$442,753.02 ",1.66,60,41,6%,1997,0
Commercial Real Estate,ABC1000103,Multifamily residential,1/1/14,4,"$3,217,025.86 ",4.03%,"$5,849,137.92 ","$394,816.81 ",3.05,60,26,10%,1999,0
Commercial Real Estate,ABC1000104,Multifamily residential,1/1/11,10,"$899,486.81 ",5.41%,"$1,168,164.69 ","$72,893.48 ",1.5,60,30,1%,2007,0
Commercial Real Estate,ABC1000105,Retail space,1/1/17,11,"$2,985,187.06 ",5.26%,"$3,876,866.32 ","$134,914.95 ",0.86,120,57,4%,2008,0
Commercial Real Estate,ABC1000106,Multifamily residential,1/1/11,11,"$6,325,859.47 ",4.85%,"$8,110,076.25 ","$237,625.23 ",0.77,180,70,11%,2006,0
Commercial Real Estate,ABC1000107,Retail space,1/1/15,4,"$1,656,107.51 ",4.02%,"$2,400,155.82 ","$266,897.33 ",4.01,120,1,36%,2000,0
Commercial Real Estate,ABC1000108,Office building,1/1/14,11,"$2,224,488.74 ",5.28%,"$2,648,200.89 ","$170,279.32 ",1.45,120,11,11%,2004,0
Commercial Real Estate,ABC1000109,Multifamily residential,1/1/13,10,"$2,537,997.10 ",4.99%,"$3,383,996.13 ","$176,983.00 ",1.4,60,38,8%,2009,0
Commercial Real Estate,ABC1000110,Multifamily residential,1/1/16,8,"$3,848,171.47 ",4.35%,"$5,419,959.82 ","$350,671.40 ",2.09,120,50,27%,1995,0
Commercial Real Estate,ABC1000111,Retail space,1/1/15,9,"$1,354,243.30 ",4.87%,"$2,116,005.15 ","$63,268.55 ",0.96,60,41,28%,1996,0
Commercial Real Estate,ABC1000112,Multifamily residential,1/1/17,8,"$11,381,904.08 ",4.56%,"$21,077,600.14 ","$337,241.60 ",0.65,60,48,4%,1999,0
Commercial Real Estate,ABC1000113,Retail space,1/1/16,8,"$2,436,993.94 ",4.18%,"$3,164,927.20 ","$275,981.65 ",2.71,60,24,29%,2000,0
Commercial Real Estate,ABC1000114,Multifamily residential,1/1/17,9,"$8,944,142.99 ",5.71%,"$11,615,770.12 ","$1,018,703.04 ",1.99,120,15,14%,2008,0
Commercial Real Estate,ABC1000115,Office building,1/1/11,10,"$7,616,276.17 ",5.13%,"$10,155,034.90 ","$580,868.00 ",1.49,60,12,1%,2006,0
Commercial Real Estate,ABC1000116,Office building,1/1/16,10,"$4,332,272.86 ",5.13%,"$5,776,363.81 ","$300,948.55 ",1.35,120,120,8%,2005,0
Commercial Real Estate,ABC1000117,Retail space,1/1/17,6,"$17,752,481.04 ",4.50%,"$30,088,950.92 ","$1,742,150.26 ",2.18,60,29,7%,2008,0
Commercial Real Estate,ABC1000118,Multifamily residential,1/1/18,7,"$3,412,214.45 ",5.38%,"$5,416,213.41 ","$372,093.86 ",2.03,60,33,35%,2001,0
Commercial Real Estate,ABC1000119,Multifamily residential,1/1/17,8,"$3,841,229.85 ",5.33%,"$5,410,182.89 ","$414,420.01 ",2.02,120,25,5%,2003,0
Commercial Real Estate,ABC1000120,Retail space,1/1/16,7,"$5,239,697.65 ",4.89%,"$8,732,829.41 ","$467,206.37 ",1.82,180,115,12%,1999,0
Commercial Real Estate,ABC1000121,Multifamily residential,1/1/17,7,"$1,409,175.62 ",5.69%,"$2,236,786.70 ","$155,904.03 ",1.94,120,85,10%,2006,0
Commercial Real Estate,ABC1000122,Multifamily residential,1/1/15,6,"$2,921,498.16 ",5.70%,"$4,951,691.80 ","$348,103.93 ",2.09,120,112,7%,1998,0
Commercial Real Estate,ABC1000123,Retail space,1/1/12,10,"$2,327,373.44 ",4.85%,"$2,983,812.11 ","$197,229.98 ",1.75,60,6,7%,1995,0
Commercial Real Estate,ABC1000124,Multifamily residential,1/1/12,4,"$594,842.69 ",5.40%,"$1,351,915.20 ","$63,945.59 ",1.99,60,21,7%,1996,0
Commercial Real Estate,ABC1000125,Retail space,1/1/12,10,"$1,708,923.36 ",4.17%,"$2,248,583.37 ","$103,659.69 ",1.45,60,15,27%,1998,0
Commercial Real Estate,ABC1000126,Retail space,1/1/17,7,"$2,131,476.37 ",4.80%,"$3,330,431.83 ","$219,808.50 ",2.15,180,52,7%,1995,0
Commercial Real Estate,ABC1000127,Retail space,1/1/13,9,"$3,379,117.35 ",4.92%,"$5,539,536.64 ","$130,733.06 ",0.79,120,94,40%,1998,0
Commercial Real Estate,ABC1000128,Multifamily residential,1/1/15,11,"$13,178,734.74 ",5.60%,"$16,681,942.71 ","$800,733.25 ",1.08,60,47,27%,2002,0
Commercial Real Estate,ABC1000129,Office building,1/1/18,9,"$1,351,364.35 ",5.80%,"$1,958,499.05 ","$92,637.01 ",1.18,60,6,11%,1998,0
Commercial Real Estate,ABC1000130,Retail space,1/1/12,8,"$1,218,320.94 ",5.22%,"$1,791,648.44 ","$115,561.32 ",1.82,60,50,9%,2002,0
Commercial Real Estate,ABC1000131,Retail space,1/1/19,7,"$25,563,795.12 ",5.02%,"$38,154,918.09 ","$2,899,773.77 ",2.26,60,47,29%,2003,0
Commercial Real Estate,ABC1000132,Multifamily residential,1/1/17,8,"$1,776,085.55 ",4.86%,"$2,574,037.02 ","$166,025.39 ",1.92,120,18,14%,1997,0
Commercial Real Estate,ABC1000133,Retail space,1/1/18,7,"$1,166,525.17 ",4.90%,"$1,822,695.58 ","$107,903.58 ",1.89,60,12,12%,1996,0
Commercial Real Estate,ABC1000134,Retail space,1/1/15,4,"$3,417,752.74 ",4.27%,"$5,892,677.14 ","$461,985.89 ",3.17,60,52,7%,2000,0
Commercial Real Estate,ABC1000135,Multifamily residential,1/1/13,5,"$2,035,363.14 ",5.16%,"$3,449,768.04 ","$309,444.19 ",2.95,120,26,9%,2005,0
Commercial Real Estate,ABC1000136,Retail space,1/1/13,7,"$37,773,289.94 ",4.96%,"$58,112,753.75 ","$3,910,988.33 ",2.09,180,108,13%,1998,0
Commercial Real Estate,ABC1000137,Multifamily residential,1/1/11,7,"$21,867,137.74 ",5.12%,"$31,691,503.97 ","$2,494,121.36 ",2.23,120,98,32%,1999,1
Commercial Real Estate,ABC1000138,Office building,1/1/16,10,"$1,188,113.76 ",4.99%,"$1,584,151.69 ","$82,692.72 ",1.39,120,112,33%,2006,0
Commercial Real Estate,ABC1000139,Retail space,1/1/19,11,"$603,869.13 ",5.86%,"$816,039.36 ","$16,565.60 ",0.47,120,91,27%,2005,1
Commercial Real Estate,ABC1000140,Retail space,1/1/15,12,"$257,300.35 ",5.01%,"$310,000.42 ","$11,811.02 ",0.92,120,28,12%,2000,1
Commercial Real Estate,ABC1000141,Retail space,1/1/18,9,"$12,662,571.38 ",5.00%,"$16,661,278.14 ","$1,057,991.16 ",1.67,60,1,3%,2008,0
Commercial Real Estate,ABC1000142,Multifamily residential,1/1/15,6,"$4,630,360.12 ",4.18%,"$6,521,633.97 ","$621,511.72 ",3.21,120,9,5%,1998,0
Commercial Real Estate,ABC1000143,Multifamily residential,1/1/19,10,"$6,962,884.22 ",4.05%,"$8,596,153.35 ","$422,071.13 ",1.5,60,52,3%,1999,0
Commercial Real Estate,ABC1000144,Office building,1/1/14,4,"$9,249,003.77 ",5.87%,"$15,676,277.58 ","$1,727,525.79 ",3.18,120,53,33%,1997,0
Commercial Real Estate,ABC1000145,Retail space,1/1/14,10,"$1,400,493.49 ",4.25%,"$1,729,004.31 ","$117,572.29 ",1.98,120,69,4%,2003,0
Commercial Real Estate,ABC1000146,Multifamily residential,1/1/17,8,"$3,043,124.67 ",5.24%,"$4,168,663.94 ","$313,066.66 ",1.96,120,117,39%,2006,0
Commercial Real Estate,ABC1000147,Office building,1/1/14,4,"$2,424,625.27 ",4.15%,"$3,848,611.54 ","$372,930.46 ",3.71,120,50,26%,2003,0
Commercial Real Estate,ABC1000148,Multifamily residential,1/1/14,8,"$928,245.65 ",4.51%,"$1,365,067.13 ","$82,040.53 ",1.96,120,27,34%,1995,0
Commercial Real Estate,ABC1000149,Multifamily residential,1/1/12,10,"$8,915,689.05 ",5.23%,"$11,007,023.52 ","$745,175.49 ",1.6,60,20,4%,2000,0
Commercial Real Estate,ABC1000150,Multifamily residential,1/1/12,10,"$8,957,977.41 ",4.32%,"$10,179,519.79 ","$927,354.25 ",2.4,60,27,2%,1999,0
Commercial Real Estate,ABC1000151,Multifamily residential,1/1/14,9,"$2,926,376.26 ",4.96%,"$4,367,725.76 ","$183,444.48 ",1.26,120,21,5%,1999,0
Commercial Real Estate,ABC1000152,Retail space,1/1/12,5,"$2,069,290.87 ",4.14%,"$3,337,565.92 ","$237,300.94 ",2.77,60,14,9%,2007,0
Commercial Real Estate,ABC1000153,Multifamily residential,1/1/12,5,"$790,574.50 ",5.58%,"$1,464,026.86 ","$109,362.81 ",2.48,180,70,14%,1996,0
Commercial Real Estate,ABC1000154,Retail space,1/1/15,9,"$1,099,226.07 ",5.95%,"$1,640,635.92 ","$59,883.21 ",0.92,120,76,5%,1997,1
Commercial Real Estate,ABC1000155,Retail space,1/1/11,6,"$2,207,793.73 ",4.47%,"$3,199,701.06 ","$283,493.51 ",2.87,60,33,1%,2006,0
Commercial Real Estate,ABC1000156,Retail space,1/1/14,8,"$1,954,082.63 ",4.21%,"$2,676,825.52 ","$177,473.53 ",2.16,120,7,31%,2007,0
Commercial Real Estate,ABC1000157,Retail space,1/1/17,8,"$5,419,413.33 ",5.33%,"$8,602,243.38 ","$476,564.28 ",1.65,120,15,8%,1995,0
Commercial Real Estate,ABC1000158,Multifamily residential,1/1/15,6,"$1,355,210.99 ",4.12%,"$2,151,128.55 ","$131,864.18 ",2.36,60,60,14%,2001,0
Commercial Real Estate,ABC1000159,Multifamily residential,1/1/13,8,"$3,313,062.82 ",4.21%,"$4,601,476.13 ","$279,309.60 ",2,120,105,39%,2006,0
Commercial Real Estate,ABC1000160,Multifamily residential,1/1/14,4,"$2,122,692.87 ",4.44%,"$4,162,142.88 ","$362,938.86 ",3.85,120,12,15%,2005,0
Commercial Real Estate,ABC1000161,Multifamily residential,1/1/13,10,"$6,977,863.60 ",5.38%,"$8,509,589.76 ","$588,012.65 ",1.57,120,70,12%,2000,0
Commercial Real Estate,ABC1000162,Retail space,1/1/17,11,"$5,802,049.35 ",4.19%,"$7,163,023.89 ","$212,741.81 ",0.88,60,56,11%,2005,0
